name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Spinus spinus,12,12-18,20-23,"seeds,insects","woodland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus <i>Spinus</i>&nbsp;/ <i>Carduelis</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Phylloscopus trochilus,10.5-11.5,7-12,16-22,"insects,spiders,fruits,berries ","woodland,grassland,heathland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Phylloscopidae</div><div>Genus&nbsp;<i>Phylloscopus</i></div>,"Insekten, Früchte, Beeren",,,,,"насекомые , фрукты, ягоды","lichte Wälder, Grassland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, травянистые сообщества, пустоши, городская среда, пригород"
Alcedo atthis,16-17,34-46,24-26,"fish,aquatic insects","farmland,marine,intertidal,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Coraciiformes</div><div>Family Alcedinidae</div><div>Genus&nbsp;<i>Alcedo</i></div>,Fische,,,,,рыба,"Äcker, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, городская среда, пригород"
Larus argentatus,54-60,690-1440,130-150,"ominivorous,carrion, offal, seeds, fruits, young birds, eggs, small mammals, insects,fish","farmland,grassland,marine,intertidal,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Aas, Fleischabfälle, Samen, Früchte, Eier, Insekten, Fische",,,,,"падаль, потроха, семена, фрукты, яйца, насекомые , рыба","Äcker, Grassland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Coccothraustes coccothraustes,18,48-62,29-33,"seeds, buds,shoots","woodland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus <i>Coccothraustes</i></div>,"Samen, Knospen",,,,,"семена, бутоны","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Linaria cannabina,13.5,15-22,21-25.5,"seeds,insects","farmland,grassland,heathland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus&nbsp;<i>Linaria</i>&nbsp;or <i>Carduelis</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grassland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Cuculus canorus,32-34,105-130,55-65,"insects, hairy caterpillars","woodland,farmland,heathland,upland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Cuculiformes</div><div>Family Cuculidae</div><div>Genus <i>Cuculus</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Heide, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, пустоши, возвышенности, городская среда, пригород"
Phasianus colchicus,53-89,"1,000-1,700 (male); 750-1,200 (female)",70-90,"seeds, grain, shoots,insects","woodland,farmland,grassland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Galliformes</div><div>Family Phasianidae</div><div>Genus&nbsp;<i>Phasianus</i></div>,"Samen, Körner, Insekten",,,,,"семена, зерно, насекомые ","lichte Wälder, Äcker, Grassland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Ciconia ciconia,,,,,,,,,,,,,,,,,,
Corvus frugilegus,44-46,280-340,81-99,"worms, grain, nuts,insects, small mammals, birds,eggs,nestlings,carrion","woodland,farmland,grassland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Corvus</i></div>,"Würmer, Körner, Insekten, Vögel, Eier, Aas",,,,,"черви, зерно, насекомые , птицы, яйца, падаль","lichte Wälder, Äcker, Grassland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Accipiter nisus,28-38,110-196 (male); 185-342 (female),55-70,"birds, bats","woodland,farmland,grassland,heathland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Accipiter</i></div>,"Vögel, Fledermäuse",,,,,"птицы, летучие мыши","lichte Wälder, Äcker, Grassland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Spatula clypeata,44-52,400-1000,70-84,"small insects,plants","grassland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,Pflanzen,,,,,растения,"Grassland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Mergus merganser,,,,,,,,,,,,,,,,,,
Curruca communis,14,12-18,18.5-23,"insects,berries,fruits","woodland,farmland,grassland,heathland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sylviidae</div><div>Genus&nbsp;<i>Sylvia</i> or <i>Curruca</i></div>,"Insekten, Beeren, Früchte",,,,,"насекомые , ягоды, фрукты","lichte Wälder, Äcker, Grassland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Turdus viscivorus,27,100-150,42-48,"worms, slugs, insects,berries","woodland,farmland,grassland,heathland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Turdidae</div><div>Genus&nbsp;<i>Turdus</i></div>,"Würmer, Nacktschnecken, Insekten, Beeren",,,,,"черви, слизни, насекомые , ягоды","lichte Wälder, Äcker, Grassland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Mareca penelope,45-51,500-900,75-86,"aquatic plants, grass, roots","grassland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,Gras,,,,,трава,"Grassland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Periparus ater,11.5,8-10,17-21,"insects, seeds,nuts","woodland,heathland,urban,suburban",,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, пустоши, городская среда, пригород"
Motacilla flava,17,16-22,23-27,"insects,flies,beetles","farmland,grassland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus&nbsp;<i>Motacilla</i></div>,"Insekten, Fliegen, Käfer",,,,,"насекомые , мухи, жуки","Äcker, Grassland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Anthus pratensis,14.5,15-22,22-25,"insects,flies, beetles,moths,spiders","farmland,grassland,heathland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus&nbsp;<i>Anthus</i></div>,"Insekten, Fliegen, Käfer",,,,,"насекомые , мухи, жуки","Äcker, Grassland, Heide, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона, возвышенности"
Larus canus,40-42,300-480,110-130,"worms, insects, fish, carrion,rubbish","farmland,grassland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Würmer, Insekten, Fische, Aas, Abfall",,,,,"черви, насекомые , рыба, падаль, отбросы","Äcker, Grassland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Acrocephalus scirpaceus,13,10-15,17-21,"insects, berries","farmland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Acrocephalidae</div><div>Genus&nbsp;<i>Acrocephalus</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Circus aeruginosus,48-56,400-660 (male); 540-800 (female),115-130,"small birds,mammals","farmland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Circus</i></div>,,,,,,,"Äcker, Meer, Watt",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона"
Motacilla cinerea,18-19,14-22,25-27,insects,"marine,intertidal,upland,urban,suburban,wetland",,Insekten,,,,,насекомые ,"Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, возвышенности, городская среда, пригород"
Bucephala clangula,42-50,650-1200,65-80,"mussels, insect larvae, small fish,plants","marine,intertidal,wetland",,Pflanzen,,,,,растения,"Meer, Watt",,,,,"море, приливно-отливная зона"
Larus michahellis,55-67,"1,100 birds",1-4 pairs,"ominivore, scavenger","farmland,marine,intertidal,urban,suburban,wetland",,Aasresser,,,,,падальщики,"Äcker, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, городская среда, пригород"
Sylvia borin,14,16-22,20-24.5,"insects,berries","woodland,farmland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sylviidae</div><div>Genus&nbsp;<i>Sylvia</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Grus grus,110-120,4-7k,220-245,"seeds, roots, insects, snails,worms","farmland,grassland,wetland",,"Samen, Insekten, Schnecken, Würmer",,,,,"семена, насекомые , улитки, черви","Äcker, Grassland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Milvus migrans,,,,,,,,,,,,,,,,,,
Columba oenas,30-33,290-330,60-66,seeds,"woodland,farmland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Columbiformes</div><div>Family Columbidae</div><div>Genus&nbsp;<i>Columba</i></div>,Samen,,,,,семена,"lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Tadorna tadorna,58-65,0.85-1.4 k,1.1-1.33 m,"invertebrates, shellfish,aquatic snails","farmland,grassland,marine,intertidal,wetland",,Schalentiere,,,,,моллюски,"Äcker, Grassland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Serinus serinus,,,,,,,,,,,,,,,,,,
Regulus ignicapilla,9,5-7,13-16,"spiders, moth eggs,insects","woodland,urban,suburban",,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Lanius collurio,17,25-35,24-27,"insects,small birds,mammals","woodland,farmland,grassland,heathland,marine,intertidal",,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Grassland, Heide, Meer, Watt",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона"
Gallinago gallinago,23-28,80-120,39-45,"small invertebrates,worms,insect larvae","farmland,grassland,marine,intertidal,upland,wetland",,Würmer,,,,,черви,"Äcker, Grassland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Lophophanes cristatus,11.5,10-13,17-20,"insects,seeds",woodland,,"Insekten, Samen",,,,,"насекомые , семена",lichte Wälder,,,,,редколесье
Dryocopus martius,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Dryocopus</i></div>,,,,,,,,,,,,
Turdus iliacus,21,50-75,33-35,"berries,worms","woodland,farmland,grassland,urban,suburban",,"Beeren, Würmer",,,,,"ягоды, черви","lichte Wälder, Äcker, Grassland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Saxicola rubicola,12.5,13-17,18-21,"invertebrates, seeds,fruits,blackberries","farmland,grassland,heathland,marine,intertidal,wetland",,"Samen, Früchte, Blaubeeren",,,,,"семена, фрукты, ежевика","Äcker, Grassland, Heide, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона"
Luscinia megarhynchos,15-17,17-24,23-26,insects,"woodland,grassland,wetland",,Insekten,,,,,насекомые ,"lichte Wälder, Grassland",,,,,"редколесье, травянистые сообщества"
Picus viridis,30-34,180-220,40-42,ants,"woodland,farmland,grassland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Picus</i></div>,Ameisen,,,,,муравьи,"lichte Wälder, Äcker, Grassland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Anser albifrons,65-78,1.9-2.5k,130-165,"grass,clover,grain,wheat,potatoes","farmland,grassland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anser</i></div>,"Gras, Klee, Körner, Weizen, Kartoffeln",,,,,"трава, клевер, зерно, пшеница, картофель","Äcker, Grassland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Netta rufina,53-57,"900-1,400",85-90,"stems, roots,seeds of aquatic vegetation",wetland,,Stängel,,,,,стебли,,,,,,
Numenius arquata,50-60,"575-1,000 (Females averain 1,000 and males averain 770)",80-100,"worms, shellfish,shrimps","farmland,grassland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Numenius</i></div>,"Würmer, Schalentiere, Garnelen",,,,,"черви, моллюски, креветки","Äcker, Grassland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Certhia familiaris,12.5,8-12,18-21,"insects,spiders,seeds","woodland,farmland,urban,suburban",,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Phoenicurus phoenicurus,14,11-19,20-24,"insects,spiders,worms,berries","woodland,upland,urban,suburban",,"Insekten, Würmer, Beeren",,,,,"насекомые , черви, ягоды","lichte Wälder, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, возвышенности, городская среда, пригород"
Curruca curruca,13,12  - the same as 12 paperclips or two oldcrests,18,"insects,berries ","woodland,farmland,grassland,urban,suburban",,"Insekten, Beeren",,,,,"насекомые , ягоды","lichte Wälder, Äcker, Grassland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Haematopus ostralegus,40-45,430-650,80-86,"mussels,worms","farmland,grassland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Haematopodidae</div><div>Genus&nbsp;<i>Haematopus</i></div>,Würmer,,,,,черви,"Äcker, Grassland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Muscicapa striata,14,14-19,23-25,"flying insects,moths, butterflies, damselflies, crane flies,insects","woodland,farmland,urban,suburban",,"Schmetterlinge, kleine Libellen, Insekten",,,,,"бабочки, стрекозы, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Poecile montanus,11.5,8-14,17-19,"insects, seeds,berries","woodland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Paridae</div><div>Genus&nbsp;<i>Poecile</i></div>,"Insekten, Samen, Beeren",,,,,"насекомые , семена, ягоды","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Branta leucopsis,58-70,1.3 to 2.2 k,132-145,"vegetation, leaves,stems,roots,seeds","farmland,grassland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Branta</i></div>,"Stängel, Samen",,,,,"стебли, семена","Äcker, Grassland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Fringilla montifringilla,14,24,25-26,"seeds, insects","woodland,farmland,urban,suburban",,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Dendrocoptes medius,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Dendrocopos</i></div>,,,,,,,,,,,,
Accipiter gentilis,48-62,"600-1,100 (male); 900-2,000 (female)",135-165,"birds,mammals","woodland,farmland,grassland,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Accipiter</i></div>,Vögel,,,,,птицы,"lichte Wälder, Äcker, Grassland, Hochland",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, возвышенности"
Riparia riparia,12,13-14,26-29,invertebrates,"farmland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Hirundinidae</div><div>Genus&nbsp;<i>Riparia</i></div>,,,,,,,Äcker,,,,,сельскохозяиственные угодья
Larus marinus,64-78,1-2k,150-165,"omnivorore,shellfish, birds,carrion","farmland,marine,intertidal,upland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Schalentiere, Vögel, Aas",,,,,"моллюски, птицы, падаль","Äcker, Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, возвышенности, городская среда, пригород"
Haliaeetus albicilla,70-90,3.5-5k (male); 4-7k (female),200-240,"carrion, fish, birds, rabbits","farmland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Haliaeetus</i></div>,"Aas, Fische, Vögel, Kaninchen",,,,,"падаль, рыба, птицы, кролики","Äcker, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, возвышенности"
Larus fuscus,52-64,"620-1,000",135-150,"omnivore, scavenger","farmland,grassland,marine,intertidal,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Allesfresser, Aasresser",,,,,"всеядные, падальщики","Äcker, Grassland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Tringa ochropus,22,910 birds,1-2 pairs,insects,"farmland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus <i>Tringa</i></div>,Insekten,,,,,насекомые ,"Äcker, Meer, Watt",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона"
Sterna hirundo,,,,,,,,,,,,,,,,,,
Psittacula krameri,38-42,96-139,42-48,"fruits, berries, nuts,seeds","woodland,urban,suburban",,"Früchte, Beeren, Samen",,,,,"фрукты, ягоды, семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Tringa totanus,28,"110 (male), 130 (female)",62,"insects, earthworms, molluscs,crustaceans","grassland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Tringa</i></div>,"Insekten, Regenwürmer, Weichtiere",,,,,"насекомые , черви, моллюски","Grassland, Meer, Watt, Hochland",,,,,"травянистые сообщества, море, приливно-отливная зона, возвышенности"
Acrocephalus palustris,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Acrocephalidae</div><div>Genus&nbsp;<i>Acrocephalus</i></div>,,,,,,,,,,,,
Anthus trivialis,15,20-25,25-27,"small invertebrates,berries","woodland,grassland,heathland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus&nbsp;<i>Anthus</i></div>,Beeren,,,,,ягоды,"lichte Wälder, Grassland, Heide",,,,,"редколесье, травянистые сообщества, пустоши"
Falco peregrinus,39-50,600-1300,95-115,"birds,pigeons,ducks","farmland,grassland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Falconiformes</div><div>Family Falconidae</div><div>Genus&nbsp;<i>Falco</i></div>,"Vögel, Tauben",,,,,"птицы, голуби","Äcker, Grassland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Podiceps nigricollis,28-34,250-350,56-60,"insects, crustaceans,small fish","marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Podicipediformes</div><div>Family Podicipedidae</div><div>Genus&nbsp;<i>Podiceps</i></div>,Insekten,,,,,насекомые ,"Meer, Watt",,,,,"море, приливно-отливная зона"
Luscinia svecica,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Muscicapidae</div><div>Genus&nbsp;<i>Luscinia</i></div>,,,,,,,,,,,,
Dryobates minor,14-15,17-25,25-27,insects,"woodland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Dendrocopos</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Falco subbuteo,28-36,131-340,70-92,"insects,small birds","woodland,farmland,grassland,heathland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Falconiformes</div><div>Family Falconidae</div><div>Genus&nbsp;<i>Falco</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Grassland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Acrocephalus schoenobaenus,13,10-13,17-21,"insects, berries ","farmland,urban,suburban,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Acrocephalidae</div><div>Genus&nbsp;<i>Acrocephalus</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Hippolais icterina,,,,,,,,,,,,,,,,,,
Strix aluco,37-39,330-590,94-104,"small mammals,rodents, small birds, frogs, fish, insects,worms","woodland,farmland,urban,suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Strigidae</div><div>Genus&nbsp;<i>Strix</i></div>,"Nagetiere, Frösche, Fische, Insekten, Würmer",,,,,"грызуны, лягушки, рыба, насекомые , черви","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Ficedula hypoleuca,13,12-15,21-24,"insects,caterpillars, fruits,seeds","woodland,urban,suburban",,"Insekten, Raupen, Früchte, Samen",,,,,"насекомые , гусеницы, фрукты, семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Pandion haliaetus,52-60,1.2-2k,145-170,fish,"marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Pandionidae</div><div>Genus&nbsp;<i>Pandion</i></div>,Fische,,,,,рыба,"Meer, Watt",,,,,"море, приливно-отливная зона"
Circus cyaneus,44-52,300-400 (male) 400-600 (female),100-120,"small birds,mammals","farmland,grassland,marine,intertidal,upland,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Circus</i></div>,,,,,,,"Äcker, Grassland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Phylloscopus sibilatrix,12-13,8-12,19.5-24,"insects,spiders","woodland,urban,suburban",,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Loxia curvirostra,16.5,35-50,27-30.5,conifer seeds,woodland,,,,,,,,lichte Wälder,,,,,редколесье
Limosa limosa,40-44,280-340,70-82,"insects, worms,snails,plants, beetles, grasshoppers","grassland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Limosa</i></div>,"Insekten, Würmer, Schnecken, Pflanzen, Käfer, Grashüpfer",,,,,"насекомые , черви, улитки, растения, жуки, кузнечики","Grassland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Cygnus cygnus,140-160,9-11 k,205-235,"aquatic plants, grass, grain, potatoes","farmland,grassland,marine,intertidal,wetland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Cygnus</i></div>,"Gras, Körner, Kartoffeln",,,,,"трава, зерно, картофель","Äcker, Grassland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
